module_id,module,question_concept_id,question,answer_concept_id,answer,answer_numeric,answer_text,select_all
1703970,Emotional Health History and Well-Being,1703976,"In your life, have you ever experienced sexual assault by a partner or ex-partner?",1704077,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1703976,"In your life, have you ever experienced sexual assault by a partner or ex-partner?",1704120,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1703988,"In your life, have you ever had a partner or ex-partner deliberately hit you or use violence against you?",1704077,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1703988,"In your life, have you ever had a partner or ex-partner deliberately hit you or use violence against you?",1704120,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1703989,"In your life, have you ever had another experience where your life was in danger or threatened?",1704077,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1703989,"In your life, have you ever had another experience where your life was in danger or threatened?",1704120,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1703994,"In your life, have you ever been in a serious accident that you believed to be life-threatening at the time?",1704077,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1703994,"In your life, have you ever been in a serious accident that you believed to be life-threatening at the time?",1704120,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704011,"In your life, have you ever witnessed a sudden violent death (e.g. murder, suicide, aftermath of an accident)?",1704077,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704011,"In your life, have you ever witnessed a sudden violent death (e.g. murder, suicide, aftermath of an accident)?",1704120,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704020,"In your life, have you ever been involved in combat or exposed to a war-zone (either in the military or as a civilian)?",1704077,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704020,"In your life, have you ever been involved in combat or exposed to a war-zone (either in the military or as a civilian)?",1704120,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704021,"In your life, have you ever had a partner or ex-partner who repeatedly put you down to the extent where you felt worthless?",1704077,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704021,"In your life, have you ever had a partner or ex-partner who repeatedly put you down to the extent where you felt worthless?",1704120,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704029,"In your life, have you ever been diagnosed with a life-threatening illness?",1704077,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704029,"In your life, have you ever been diagnosed with a life-threatening illness?",1704120,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704031,"Some people who have had feelings of depression or loss of interest find that they have difficulties coping with rejection or negative responses from other people, even outside these periods. Does this sound like you?",1704122,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704031,"Some people who have had feelings of depression or loss of interest find that they have difficulties coping with rejection or negative responses from other people, even outside these periods. Does this sound like you?",1704125,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704035,"In your life, have you ever been attacked, mugged, robbed, or been the victim of a physically violent crime?",1704077,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704035,"In your life, have you ever been attacked, mugged, robbed, or been the victim of a physically violent crime?",1704120,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704055,"In your life, have you ever been a victim of a sexual assault, whether by a stranger or someone you knew?",1704077,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704055,"In your life, have you ever been a victim of a sexual assault, whether by a stranger or someone you knew?",1704120,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704056,"In your life, have you ever had your life in danger because of a fire, flood or natural disaster (like a hurricane, tornado, or earthquake)?",1704077,Yes,90000,Value error - Yes,0
1703970,Emotional Health History and Well-Being,1704056,"In your life, have you ever had your life in danger because of a fire, flood or natural disaster (like a hurricane, tornado, or earthquake)?",1704120,Yes,90000,Value error - Yes,0
1333342,COVID-19 Participant Experience (COPE) Survey,1332756,How long has it been since you last used an electronic nicotine product?,1332723,Weeks,999,Weeks,0
1333342,COVID-19 Participant Experience (COPE) Survey,1332756,How long has it been since you last used an electronic nicotine product?,1332724,Months,999,Months,0
1333342,COVID-19 Participant Experience (COPE) Survey,1332756,How long has it been since you last used an electronic nicotine product?,1332725,Years,999,Years,0
1333342,COVID-19 Participant Experience (COPE) Survey,1332849,How long has it been since you last smoked?,1332723,Weeks,999,Weeks,0
1333342,COVID-19 Participant Experience (COPE) Survey,1332849,How long has it been since you last smoked?,1332724,Months,999,Months,0
1333342,COVID-19 Participant Experience (COPE) Survey,1332849,How long has it been since you last smoked?,1332725,Years,999,Years,0
1333342,COVID-19 Participant Experience (COPE) Survey,1333287,"During the last 7 days, how much time did you spend sitting on a weekday? Please select below to enter the amount of time in minutes OR hours.",903636,Enter the amount of time,999,Enter the amount of time,0
1333342,COVID-19 Participant Experience (COPE) Survey,1333287,"During the last 7 days, how much time did you spend sitting on a weekday? Please select below to enter the amount of time in minutes OR hours.",903637,Enter a response in hours,999,Hours,0
1333342,COVID-19 Participant Experience (COPE) Survey,1333287,"During the last 7 days, how much time did you spend sitting on a weekday? Please select below to enter the amount of time in minutes OR hours.",903638,Enter a response in minutes,999,Minutes,0
1703870,Behavioral Health and Personality,1703876,About how many times in your life did this happen?,1703944,Enter number of times,999,Enter number of times,0
1703870,Behavioral Health and Personality,1703883,About how many times in your life did this happen?,1703944,Enter number of times,999,Enter number of times,0
1703870,Behavioral Health and Personality,1703887,"How old were you the FIRST time that you had a period of at least four days like this? If you don't know, please use your best guess.",1703943,Enter age,999,Enter age,0
1703870,Behavioral Health and Personality,1703898,About how many times in your life did this happen?,1703944,Enter number of times,999,Enter number of times,0
1703870,Behavioral Health and Personality,1703924,About how many times in your life did this happen?,1703944,Enter number of times,999,Enter number of times,0
1703970,Emotional Health History and Well-Being,1704058,"Enter number of times you had a period lasting two or more weeks when you had feelings of depression or loss of interest. If you don't know, please use your best guess.",1704105,Enter number,999,Enter number,0
1703970,Emotional Health History and Well-Being,1704137,"About how old were you the LAST time you had a period of two weeks like this? (Whether or not you received any help for it.) If you don't know, please use your best guess.",1704096,Enter age,999,Enter age,0
1703970,Emotional Health History and Well-Being,1704138,"About how old were you the FIRST time you had a period of two weeks like this? (Whether or not you received any help for it.) If you don't know, please use your best guess.",1704096,Enter age,999,Enter age,0
1333342,COVID-19 Participant Experience (COPE) Survey,596888,Which vaccine did you receive?,596889,Please specify:,998,Text,0
40192389,Social Determinants of Health,40192428,Discrimination: What do you think is the main reason for these experiences?,40192467,Other (specify),11,Other,1
1333342,COVID-19 Participant Experience (COPE) Survey,1332880,What do you think is the main reason(s) for these experiences? Select all that apply.,1333198,Your Education or Income Level,10,Your Education or Income Level,1
40192389,Social Determinants of Health,40192428,Discrimination: What do you think is the main reason for these experiences?,40192483,Your education or income level,10,Your education or income level,1
1333342,COVID-19 Participant Experience (COPE) Survey,1332880,What do you think is the main reason(s) for these experiences? Select all that apply.,1332899,Your Sexual Orientation,9,Your Sexual Orientation,1
1333342,COVID-19 Participant Experience (COPE) Survey,1333016,What type of household do you live in?,903640,Other,9,Other,0
1333342,COVID-19 Participant Experience (COPE) Survey,1333016,What type of household do you live in?,1332722,Other,9,Other,0
1586134,The Basics,1384450,Insurance: Insurance Type,1384665,Insurance Type: Employer Or Union,9,Employer Or Union,1
1586134,The Basics,1585375,Income: Annual Income,1585384,Annual Income: more 200k,9,more 200k,0
1586134,The Basics,1585402,Living Situation: Current Living,1585877,Current Living: Outside,9,Outside,0
40192389,Social Determinants of Health,40192428,Discrimination: What do you think is the main reason for these experiences?,40192406,Your sexual orientation,9,Your sexual orientation,1
1333342,COVID-19 Participant Experience (COPE) Survey,1333016,What type of household do you live in?,1332720,Homeless,8,Homeless,0
1586134,The Basics,1384450,Insurance: Insurance Type,1384623,Insurance Type: Veteran Administration,8,Veteran Administration,1
1586134,The Basics,1585348,Gender: Closer Gender Description,1585355,Closer Gender Description: Specified Gender,8,Specified Gender,1
1586134,The Basics,1585375,Income: Annual Income,1585383,Annual Income: 150k 200k,8,150k 200k,0
1586134,The Basics,1585402,Living Situation: Current Living,1585876,Current Living: Shelter,8,Shelter,0
1586134,The Basics,1585940,Education Level: Highest Grade,1585948,Highest Grade: Advanced Degree,8,Advanced Degree,0
1586134,The Basics,1585952,Employment: Employment Status,1585960,Employment Status: Unable To Work,8,Unable To Work,1
1703870,Behavioral Health and Personality,1703906,Please try to remember a period when you were in a highor irritablestate and select all of the following that apply:,1703954,My thoughts were racing,8,My thoughts were racing,1
40192389,Social Determinants of Health,40192428,Discrimination: What do you think is the main reason for these experiences?,40192413,Some other aspect of your physical appearance,8,Some other aspect of your physical appearance,1
43528895,Healthcare Access & Utilization,43529973,"Health Advice: Nurse Practitioner, Physician Assistant, or Midwife Visits",43528296,"Nurse Practitioner, PA, or Midwife Visits: 16 or More",8,16 or More,0
43528895,Healthcare Access & Utilization,43529974,Health Advice: Dentist or Orthodontist Visits,43528291,Dentist or Orthodontist Visits: 16 or More,8,16 or More,0
43528895,Healthcare Access & Utilization,43529975,Health Advice: OB/GYN Visits,43528297,OB/GYN Visits: 16 or More,8,16 or More,0
43528895,Healthcare Access & Utilization,43529976,Health Advice: Medical Specialist Visits,43528294,Medical Specialist Visits: 16 or More,8,16 or More,0
43528895,Healthcare Access & Utilization,43529977,Health Advice: Mental Health Professional Visits,43528295,Mental Health Professional Visits: 16 or More,8,16 or More,0
43528895,Healthcare Access & Utilization,43529978,Health Advice: Traditional Healer Visits,43528300,Traditional Healer Visits: 16 or More,8,16 or More,0
43528895,Healthcare Access & Utilization,43530588,Health Advice: General Doctor Visits,43528293,General Doctor Visits: 16 or M ore,8,16 or M ore,0
43528895,Healthcare Access & Utilization,43530589,Health Advice: Chiropractor Visits,43528290,Chiropractor Visits: 16 or M ore,8,16 or M ore,0
43528895,Healthcare Access & Utilization,43530590,Health Advice: Podiatrist Visits,43528299,Podiatrist Visits: 16 or More,8,16 or More,0
43528895,Healthcare Access & Utilization,43530591,Health Advice: Eye Doctor Visits,43528292,Eye Doctor Visits: 16 or More,8,16 or More,0
43528895,Healthcare Access & Utilization,43530592,"Health Advice: Physical Therapist, Speech Therapist, Respiratory Therapist, Audiologist, or Occupational Therapist Visits",43528298,"PT, ST, RT, Audiologist or OT Visits: 16 or More",8,16 or More,0
1740639,Personal and Family Health History,836768,"Including yourself, who in your family has had bladder cancer? Select all that apply.",43528468,"Including yourself, who in your family has had bladder cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836769,"Including yourself, who in your family has had blood or soft tissue cancer? Select all that apply.",43528476,"Including yourself, who in your family has had blood or soft tissue cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836770,"Including yourself, who in your family has had bone cancer? Select all that apply.",43528481,"Including yourself, who in your family has had bone cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836771,"Including yourself, who in your family has had brain cancer? Select all that apply.",43528495,"Including yourself, who in your family has had brain cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836772,"Including yourself, who in your family has had breast cancer? Select all that apply.",43528503,"Including yourself, who in your family has had breast cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836773,"Including yourself, who in your family has had cervical cancer? Select all that apply.",43528542,"Including yourself, who in your family has had cervical cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836774,"Including yourself, who in your family has had esophageal cancer? Select all that apply.",43528694,"Including yourself, who in your family has had esophageal cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836775,"Including yourself, who in your family has had eye cancer? Select all that apply.",43528696,"Including yourself, who in your family has had eye cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836776,"Including yourself, who in your family has had kidney cancer? Select all that apply.",43529139,"Including yourself, who in your family has had kidney cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836777,"Including yourself, who in your family has had lung cancer? Select all that apply.",43529187,"Including yourself, who in your family has had lung cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836778,"Including yourself, who in your family has had ovarian cancer? Select all that apply.",43529678,"Including yourself, who in your family has had ovarian cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836779,"Including yourself, who in your family has had pancreatic cancer? Select all that apply.",43529683,"Including yourself, who in your family has had pancreatic cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836780,"Including yourself, who in your family has had prostate cancer? Select all that apply.",43529736,"Including yourself, who in your family has had prostate cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836781,"Including yourself, who in your family has had skin cancer? Select all that apply.",43529820,"Including yourself, who in your family has had skin cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836782,"Including yourself, who in your family has had stomach cancer? Select all that apply.",43529870,"Including yourself, who in your family has had stomach cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836783,"Including yourself, who in your family has had thyroid cancer? Select all that apply.",43529913,"Including yourself, who in your family has had thyroid cancer? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836784,"Including yourself, who in your family has had aortic aneurysm? Select all that apply.",43528425,"Including yourself, who in your family has had aortic aneurysm? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836785,"Including yourself, who in your family has had congestive heart failure? Select all that apply.",43528583,"Including yourself, who in your family has had congestive heart failure? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836786,"Including yourself, who in your family has had a heart attack? Select all that apply.",43528913,"Including yourself, who in your family has had a heart attack? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836787,"Including yourself, who in your family has had high blood pressure (hypertension)? Select all that apply.",43528931,"Including yourself, who in your family has had high blood pressure (hypertension)? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836788,"Including yourself, who in your family has had sickle cell disease? Select all that apply.",43529799,"Including yourself, who in your family has had sickle cell disease? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836789,"Including yourself, who in your family has had a stroke? Select all that apply.",43529878,"Including yourself, who in your family has had a stroke? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836790,Who in your family has had sudden death? Select all that apply.,43529883,Who in your family has had sudden death? - Grandparent,7,Grandparent,1
1740639,Personal and Family Health History,836791,"Including yourself, who in your family has had allergies? Select all that apply.",43528381,"Including yourself, who in your family has had allergies? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836792,"Including yourself, who in your family has had anemia? Select all that apply.",43528404,"Including yourself, who in your family has had anemia? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836793,"Including yourself, who in your family has had celiac disease? Select all that apply.",43528534,"Including yourself, who in your family has had celiac disease? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836794,"Including yourself, who in your family has had Crohn's disease? Select all that apply.",43528601,"Including yourself, who in your family has had Crohn's disease? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836795,"Including yourself, who in your family has had peptic (stomach) ulcers? Select all that apply.",43529699,"Including yourself, who in your family has had peptic (stomach) ulcers? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836796,"Including yourself, who in your family has had ulcerative colitis? Select all that apply.",43529944,"Including yourself, who in your family has had ulcerative colitis? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836797,"Including yourself, who in your family has had hyperthyroidism? Select all that apply.",43529068,"Including yourself, who in your family has had hyperthyroidism? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836798,"Including yourself, who in your family has had hypothyroidism? Select all that apply.",43529077,"Including yourself, who in your family has had hypothyroidism? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836799,"Including yourself, who in your family has had type 1 diabetes? Select all that apply.",43529928,"Including yourself, who in your family has had type 1 diabetes? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836800,"Including yourself, who in your family has had type 2 diabetes? Select all that apply.",43529936,"Including yourself, who in your family has had type 2 diabetes? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836801,"Including yourself, who in your family has had kidney stones? Select all that apply.",43529161,"Including yourself, who in your family has had kidney stones? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836802,"Including yourself, who in your family has had autism spectrum disorder? Select all that apply.",43528453,"Including yourself, who in your family has had autism spectrum disorder? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836803,"Including yourself, who in your family has had bipolar disorder? Select all that apply.",43528461,"Including yourself, who in your family has had bipolar disorder? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836804,"Including yourself, who in your family has had depression? Select all that apply.",43528619,"Including yourself, who in your family has had depression? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836805,"Including yourself, who in your family has had schizophrenia? Select all that apply.",43529784,"Including yourself, who in your family has had schizophrenia? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836806,"Including yourself, who in your family has had Lou Gehrig's disease (amyotrophic lateral sclerosis)? Select all that apply.",43528395,"Including yourself, who in your family has had Lou Gehrig's disease (amyotrophic lateral sclerosis)? - Grandparent",7,Grandparent,1
1740639,Personal and Family Health History,836807,"Including yourself, who in your family has had dementia (includes Alzheimer's, vascular, etc.)? Select all that apply.",43528612,"Including yourself, who in your family has had dementia (includes Alzheimer's, vascular, etc.)? - Grandparent",7,Grandparent,1
